name,sport,age,height,weight,country,sex,gold,silver,bronze,total
Alyssa Anderson,Swimming,21,173,64,United States of America,F,1,0,0,1
Haley Anderson,Swimming,20,178,68,United States of America,F,0,0,0,0
Jenny-Lyn Anderson,Synchronised Swimming,19,162,,Australia,F,0,0,0,0
Matthew Anderson,Volleyball,25,208,93,United States of America,M,0,0,0,0
Rose Anderson,Basketball,24,175,70,Great Britain,F,0,0,0,0
Kim Andersson,Handball,29,201,110,Sweden,M,0,0,0,0
Mattias Andersson,Handball,34,185,90,Sweden,M,0,0,0,0
Isabellah Andersson,Athletics,31,170,55,Sweden,F,0,0,0,0
Elizabeth Andiego,Boxing,25,172,,Kenya,F,0,0,0,0
Kozue Ando,Football,30,164,57,Japan,F,0,0,0,0
